quote,author,category
"And in that time, I lost my dad and had kids of my own. It was like, OK, I get it now. I know what fatherhood is all about. And you look at your parents differently.",Paul Reiser,"Time, Parents, Lost "
"I look at my little girl and I wonder what she's going to be and what she's going to do and what is it that leads girls certain directions in life. I think a lot of that goes back to what kind of father they had, and so it makes me want to be the best dad I can possibly be.",Jake Owen,"Life, Best, Father "
As a little girl I used to daydream about my real father coming on a white horse to rescue me.,Christine Keeler,"Father, Girl, Horse "
"I could share an hour of warm camaraderie with Dad, then once I'd walked out the door, get the uncanny feeling I'd disappeared into the wings of his mind's stage, like a character no longer necessary to the ongoing story line.",Ron Reagan,"Character, Door, Mind "
"Roman history was kind of unavoidable where I was growing up. It was everywhere - all the place names and ruins and forts. My dad's a history buff, and I spent a lot of time on Hadrian's Wall. I became fascinated by the idea of what was so terrifying up there that the Romans built a 60-mile long, 30ft high stone wall to keep it out?",Neil Marshall,"Time, History, Growing Up "
"I was the third son, and the family tradition was my dad always favored the oldest child.",Fred Korematsu,"Family, Son, Child "
"Thirteen, 13 children, and I love - I love them all. And I think I've been a good father to all of them.",Anthony Quinn,"Love, Children, Good "
"When I stopped playing hockey and started acting, the last person I was going to ask for help was my dad. He's the king of being like, 'I don't know. It's good work if you can get it. Good luck.'",Wyatt Russell,"Work, Good, Hockey "
"According to my parents, I just started drumming when I was two. I traveled with them from five to seven on the road, playing percussion. Between 8 and 12, my dad sort of prepared me by teaching me every aspect of road life.",Questlove,"Life, Parents, Road "
"You've got to take the road you need to take, and only you can make that calculation. Not your dad, not your friend. You have to take it if you feel it instinctively.",Charles Schwab,"Road, Friend, You "
A father's disappointment can be a very powerful tool.,Michael Bergin,"Father, Powerful, Tool "
"As a kid growing up, I wanted the Allen Iverson shoes that came out, the Questions. My dad got them for me, so I was excited about that.",Nate Robinson,"Shoes, Growing Up, Me "
"I was born in a hurricane in Pensacola, Florida... my dad was in the military, so we moved all over the place. But I consider myself a southerner from Louisiana. I've lived in Texas for most of my adult life.",Kimberly Willis Holt,"Life, Myself, Military "
"I didn't want to play a lawyer. I didn't want to play a doctor. I didn't want to play a single dad. I wanted to do something I felt I could learn from, something that would be a challenge and something that would not dry up.",William Petersen,"Challenge, Doctor, Lawyer "
"My dad is a really honest, hardworking, straight guy.",Joe Lando,"Honest, Guy, Straight "
"Out of all my friends, I believe I'm the only kid whose dad made us work to cut rebars; we laid bricks in construction sites and did other real work every summer for minimum wage. Our dad said that it's important in the future that when we tell people to dig a hole, that you personally know how long it will take to dig that hole.",Eric Trump,"Work, Future, Friends "
"I love my dad, although I'm definitely critical of him sometimes, like when his pants are too tight. But I love him so much and I try to be really supportive of him.",Liv Tyler,"Love, Try, Sometimes "
I can't remember a major league game where I could make eye contact with my dad. I kept wondering if he was going to yell at me for hanging a pitch or something.,David Cone,"Eye, Me, Remember "
"My dad put up a great hoop in our front yard in our driveway. I was in Oregon, so I had to be out there in the rain. We didn't always have a gym to go to.",Kevin Love,"Rain, Great, Always "
"I was lucky. A lot of people have that. People that don't tell you what you want to hear, but what's best for you. I was blessed with great friends. I was always blessed that way. My dad always kept good people around me. I just got lucky. Because of the spotlight you're in, people are scared to tell you otherwise.",Kevin Love,"Friends, Good, Best "
"From my first dunk at 14 years old to my second NCAA Championship at the University of Tennessee, my intense training with my dad was always to credit.",Candace Parker,"Training, Credit, Years "
"Father told me that if I ever met a lady in a dress like yours, I must look her straight in the eyes.",Prince Charles,"Father, Eyes, Dress "
I suppose not everyone has a dad who wrote a book saying he didn't believe in the Parliamentary road to socialism.,Ed Miliband,"Road, Book, Believe "
"I want to know everything there is to know about Lewis and Clark. And I want to do the Sunday crossword in less than an hour. I want to be the best dad in the world. I want to play Richard II, and I want to win another Tony award.",Robert Sean Leonard,"Best, Win, World "
"And I remember leaving my place in L.A. and - my father is a big fight fan - and I said, 'Dad, I got a couple of days off and I'm getting ready to go to Houston to sign to fight Muhammad Ali.",Wilt Chamberlain,"Father, Fight, Leaving "
"I remember opening my dad's closet and there were, like, 40 suits, every color of the rainbow, plaid and winter and summer. He had two jewelry boxes full of watches and lighters and cuff links. And just... he was that guy. He was probably unfulfilled in his life in many ways.",Jon Hamm,"Life, Rainbow, Winter "
"I don't think there's any real motivation for somebody to be a truck driver. Mine was simple; dad was a truck driver, I wanted to own one.",Lindsay Fox,"Simple, Motivation, Think "
"When I was a kid, I used to imagine animals running under my bed. I told my dad, and he solved the problem quickly. He cut the legs off the bed.",Lou Brock,"Problem, Animals, Legs "
"I'm a dad, and I can tell you it's the most beautiful thing in the world.",Aaron Johnson,"Beautiful, World, You "
"Being a dad is like - there's nothing more important. So the exploration of that in stories, with parents and fathers and brothers, siblings, I just think that you're always in the terrain of love, whether it's absence of love or the giving of love or the desire for love.",Gavin O'Connor,"Love, Parents, Giving "
"I was actually born in L.A. My sisters and I were playing in a parking lot, and my dad was like, 'Nah, nah, nah. Let's go give 'em some grass.'",Rachel Keller,"Born, Grass, Give "
My father was something of a rainbow-chaser.,Marc Davis,"Father, Something "
"I promised my daughter I'd name my first restaurant after her, but now the other kids are like, 'Dad, what about us?' I'm gonna have to open four restaurants!",Buddy Valastro,"Daughter, Name, Restaurant "
"My father was always telling himself no one was perfect, not even my mother.",Broderick Crawford,"Father, Mother, Perfect "
"A mustache really defines your face. My dad had a mustache when I was growing up, and I can still remember when he shaved it, he looked like a completely different person.",Jason Sudeikis,"Growing Up, Face, Remember "
"On the death of his brothers, my dad lied about his age and joined the army in 1918. He was in the trenches long enough to be gassed and contract the early stages of tuberculosis from which he would eventually die just before my birth.",Michael Foreman,"Age, Death, Long "
"I know who my dad is, I've met him a few times, but I don't even call him dad. I know it sounds horrible, but I don't even see him as part of my family, to be honest. If you want the truth, it doesn't bother me because I don't know any different. I just know that me and my mum, that was my family.",Sally Pearson,"Family, Truth, Me "
My father was the guy on the block who said hi to everyone.,Damon Wayans,"Father, Said, Everyone "
"My dad was such a bigot. He was a horrible, self-centred person. He was really racist and he'd talk about the Jews and blacks and Catholics even.",Cindy Sherman,"Person, Talk, Blacks "
"When I was 10, I had a paper route. One year, I delivered my papers through a hurricane. My mother was against the idea, but my dad, who was a sergeant in the Marine Corps, overruled her. I was determined to deliver my papers.",Tim Finchem,"Mother, Marine Corps, Her "
